id_tienda,id_producto,forecast_media_semanal,cantidad_target_q_star,stock_actual,critical_ratio,cantidad_pedido,alerta,costo_total_esperado
STORE_01,PROD_001,50.499961370328016,62.67571529682933,1,0.9941520467836257,62,,121.75753926501315
STORE_01,PROD_002,58.99405683823156,94.14502332528372,10,0.9935205183585313,85,,527.2644973057824
STORE_01,PROD_003,67.39177334307755,93.77327290089414,33,0.9950248756218906,61,,395.72249336724894
STORE_01,PROD_004,54.96097468244216,72.8473729058703,11,0.989010989010989,62,,357.72796446856273
STORE_01,PROD_005,75.84434353992906,110.14463289668451,3,0.9883720930232558,108,,686.0057871351091
STORE_01,PROD_006,85.87001640924505,123.29678239281178,13,0.989247311827957,111,,935.6691495891681
STORE_01,PROD_007,71.61943596482593,113.48158295389209,8,0.9852216748768473,106,,1255.864409671985
STORE_01,PROD_008,68.76488589318609,111.35820592386085,13,0.9836065573770492,99,,2129.666001533738
STORE_02,PROD_001,71.92058866888826,84.09634259538957,9,0.9941520467836257,76,,121.75753926501315
STORE_02,PROD_002,96.06035329071872,131.21131977777088,20,0.9935205183585313,112,,527.2644973057824
STORE_02,PROD_003,96.05931226319764,122.44081182101424,32,0.9950248756218906,91,,395.72249336724894
STORE_02,PROD_004,75.99025030903424,93.87664853246238,43,0.989010989010989,51,,357.7279644685629
STORE_02,PROD_005,112.38799455973268,146.68828391648813,27,0.9883720930232558,120,,686.0057871351091
STORE_02,PROD_006,89.88550724478549,127.31227322835221,8,0.989247311827957,120,,935.6691495891681
STORE_02,PROD_007,119.6151960588923,161.47734304795847,11,0.9852216748768473,151,,1255.8644096719852
STORE_02,PROD_008,117.52461229485795,160.1179323255327,20,0.9836065573770492,141,,2129.666001533738
STORE_03,PROD_001,107.13170283617464,119.30745676267595,4,0.9941520467836257,116,,121.75753926501315
STORE_03,PROD_002,66.84207974917402,101.99304623622618,24,0.9935205183585313,78,,527.2644973057824
STORE_03,PROD_003,92.84084764778825,119.22234720560485,20,0.9950248756218906,100,,395.72249336724894
STORE_03,PROD_004,62.39070444123054,80.27710266465868,21,0.989010989010989,60,,357.7279644685629
STORE_03,PROD_005,148.06426803915366,182.36455739590912,8,0.9883720930232558,175,,686.0057871351091
STORE_03,PROD_006,136.53659947565814,173.96336545922486,18,0.989247311827957,156,,935.6691495891681
STORE_03,PROD_007,155.17156923815617,197.03371622722233,4,0.9852216748768473,194,,1255.864409671985
STORE_03,PROD_008,132.81974700534641,175.41306703602118,4,0.9836065573770492,172,,2129.666001533738
STORE_04,PROD_001,74.16597664459037,86.34173057109169,29,0.9941520467836257,58,,121.75753926501315
STORE_04,PROD_002,83.85408399906348,119.00505048611564,9,0.9935205183585313,111,,527.2644973057824
STORE_04,PROD_003,87.09612058927493,113.47762014709153,15,0.9950248756218906,99,,395.72249336724894
STORE_04,PROD_004,52.9385604977171,70.82495872114524,6,0.989010989010989,65,,357.72796446856273
STORE_04,PROD_005,135.39499807191143,169.6952874286669,5,0.9883720930232558,165,,686.0057871351091
STORE_04,PROD_006,152.98934132322606,190.41610730679278,30,0.989247311827957,161,,935.6691495891681
STORE_04,PROD_007,94.9139700775267,136.77611706659286,31,0.9852216748768473,106,,1255.864409671985
STORE_04,PROD_008,154.30414360282663,196.8974636335014,36,0.9836065573770492,161,,2129.666001533738
STORE_05,PROD_001,66.56421348695224,78.73996741345356,38,0.9941520467836257,41,,121.75753926501315
STORE_05,PROD_002,59.07529833924644,94.2262648262986,10,0.9935205183585313,85,,527.2644973057825
STORE_05,PROD_003,121.84379084756964,148.22529040538623,33,0.9950248756218906,116,,395.72249336724894
STORE_05,PROD_004,42.21923409398432,60.10563231741246,8,0.989010989010989,53,,357.72796446856273
STORE_05,PROD_005,124.43005531016067,158.73034466691612,1,0.9883720930232558,158,,686.0057871351091
STORE_05,PROD_006,144.35146038683266,181.77822637039938,23,0.989247311827957,159,,935.6691495891681
STORE_05,PROD_007,123.59853590907167,165.46068289813783,4,0.9852216748768473,162,,1255.864409671985
STORE_05,PROD_008,155.83262486668298,198.42594489735774,12,0.9836065573770492,187,,2129.666001533738
STORE_06,PROD_001,58.883874594990644,71.05962852149196,3,0.9941520467836257,69,,121.75753926501315
STORE_06,PROD_002,80.61460913227893,115.76557561933109,9,0.9935205183585313,107,,527.2644973057824
STORE_06,PROD_003,65.43100559594444,91.81250515376104,43,0.9950248756218906,49,,395.72249336724894
STORE_06,PROD_004,54.65403515617492,72.54043337960306,18,0.989010989010989,55,,357.72796446856273
STORE_06,PROD_005,93.47346375545592,127.77375311221138,3,0.9883720930232558,125,,686.0057871351091
STORE_06,PROD_006,91.37156188752571,128.79832787109245,25,0.989247311827957,104,,935.6691495891685
STORE_06,PROD_007,170.1482890922642,212.01043608133037,37,0.9852216748768473,176,,1255.864409671985
STORE_06,PROD_008,116.03852630172963,158.6318463324044,3,0.9836065573770492,156,,2129.666001533738
